Avg_salary,Rating,Size,Type of ownership,Industry,Sector,Revenue,No. of Competitors,Per_Hour,Employer_provided,State,job_loc,Age_of_company,Python,SPARK,AWS,EXCEL,Job_Titles_Simplified,Title_Seniority,Job_Description_Length
82.5,3.4,5001 to 10000 employees,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),3,0,0,NJ,0,5,0,0,1,0,Other Titles,Not Mentioned,3558
130.0,4.3,1001 to 5000 employees,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),3,0,0,IL,1,27,1,1,0,1,Data Scientist,Senior,9165
155.0,5.0,Unknown,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,1,DC,0,-1,0,0,1,1,Data Scientist,Not Mentioned,3239
184.5,3.7,10000+ employees,Company - Public,IT Services,Information Technology,$10+ billion (USD),3,0,0,WA,0,62,1,0,0,1,Data Scientist,Senior,7325
29.5,3.1,5001 to 10000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),0,0,0,CO,0,34,0,0,0,1,Analyst,Not Mentioned,3438
86.5,4.7,501 to 1000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),3,0,0,OH,0,21,0,0,0,0,Other Titles,Not Mentioned,2730
81.0,3.7,10000+ employees,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),3,0,0,IL,0,95,0,0,0,0,Data Scientist,Not Mentioned,2769
91.0,3.8,501 to 1000 employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,0,FL,1,36,1,0,0,1,Data Scientist,Not Mentioned,2953
114.5,3.3,10000+ employees,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),3,0,0,MA,1,108,1,0,0,0,Data Scientist,Not Mentioned,4277
68.0,4.6,1001 to 5000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),0,0,0,AL,1,18,1,0,0,1,Analyst,Not Mentioned,1649
115.0,3.7,10000+ employees,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),3,0,0,NY,0,157,1,0,0,1,Data Scientist,Not Mentioned,4772
109.5,3.7,10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,0,0,CA,0,81,0,0,0,1,Data Scientist,Not Mentioned,4495
75.5,3.5,5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),0,0,0,NM,0,150,1,0,0,1,Data Scientist,Not Mentioned,3590
154.5,4.1,501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3,0,0,CA,0,8,1,1,0,1,Data Scientist,Not Mentioned,4244
143.5,4.7,51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,2,0,0,MO,1,4,1,1,0,0,Data Scientist,Not Mentioned,5065
73.5,4.1,501 to 1000 employees,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,0,0,0,MD,1,12,0,0,0,1,Data Scientist,Not Mentioned,1808
95.0,3.4,201 to 500 employees,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),3,0,0,TX,1,20,1,0,1,1,Data Scientist,Not Mentioned,3783
107.0,4.4,201 to 500 employees,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,0,0,0,OH,1,135,1,0,1,0,Data Scientist,Senior,4852
115.0,4.3,201 to 500 employees,Company - Private,Consulting,Business Services,$10 to $25 million (USD),0,0,0,NY,1,9,1,1,1,0,Data Scientist,Not Mentioned,1409
139.5,3.8,501 to 1000 employees,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),0,0,0,CA,1,14,0,0,0,0,Data Scientist,Senior,2962
67.0,3.8,1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),3,0,0,WA,1,55,0,0,0,0,Data Scientist,Not Mentioned,4991
85.0,3.8,10000+ employees,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),3,0,0,PA,1,72,1,0,0,0,Data Scientist,Not Mentioned,2527
118.0,2.8,51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),0,0,0,MA,1,14,1,0,0,1,Data Scientist,Not Mentioned,1963
79.5,4.7,51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),0,0,0,GA,1,17,1,0,0,1,Data Scientist,Not Mentioned,3123
56.5,3.1,201 to 500 employees,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),4,0,0,MA,1,21,1,0,0,0,Data Scientist,Not Mentioned,8451
128.5,3.2,1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),0,0,0,PA,0,-1,1,1,1,0,Data Scientist,Not Mentioned,2352
97.5,4.0,10000+ employees,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,0,0,0,WA,0,81,0,0,0,0,Other Titles,Not Mentioned,2312
66.5,4.4,1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,0,IN,0,5,1,0,0,0,Other Titles,Not Mentioned,1902
179.5,3.6,10000+ employees,Company - Public,Wholesale,Business Services,$10+ billion (USD),0,0,0,IL,1,93,1,0,0,1,Director,Not Mentioned,2929
76.0,2.7,501 to 1000 employees,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),0,0,0,MO,0,42,0,0,0,1,Other Titles,Not Mentioned,2703
112.0,3.9,501 to 1000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),3,0,0,VA,0,10,1,1,0,0,Data Scientist,Senior,4501
98.0,3.1,1001 to 5000 employees,Company - Private,Mining,Mining & Metals,$1 to $2 billion (USD),3,0,0,PA,0,160,1,0,0,0,Data Scientist,Not Mentioned,2651
128.0,4.0,10000+ employees,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,0,0,0,WA,0,81,0,1,1,0,Data Scientist,Senior,4333
150.5,4.3,201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,0,CA,1,9,1,1,1,1,Data Scientist,Not Mentioned,3437
87.5,1.9,51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),0,0,0,MA,1,20,0,0,1,0,Other Titles,Not Mentioned,5195
110.0,3.3,1001 to 5000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),0,0,0,VA,0,3,1,0,0,1,Data Scientist,Not Mentioned,3428
113.5,4.4,10000+ employees,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),3,0,0,CA,0,25,1,0,0,1,Data Scientist,Not Mentioned,889
124.0,3.9,51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),0,0,0,CA,1,4,1,0,0,0,Data Scientist,Not Mentioned,4232
56.5,4.7,201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),0,0,0,PA,1,23,0,0,0,1,Analyst,Junior,4523
130.0,4.5,5001 to 10000 employees,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),3,0,0,MD,1,78,1,0,0,1,Data Scientist,Not Mentioned,3024
77.5,4.3,51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),3,0,0,IL,1,12,0,0,0,1,Analyst,Not Mentioned,3706
87.0,4.0,201 to 500 employees,Company - Private,Consulting,Business Services,$50 to $100 million (USD),0,0,0,VA,1,18,1,0,1,1,Data Engineer,Not Mentioned,3860
53.5,4.4,501 to 1000 employees,Company - Private,Wholesale,Business Services,$100 to $500 million (USD),0,0,0,WA,1,72,0,0,0,1,Analyst,Not Mentioned,1819
139.0,3.2,10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),3,0,0,TX,0,58,0,0,0,0,Data Scientist,Not Mentioned,3980
114.0,3.8,201 to 500 employees,Company - Private,Consulting,Business Services,$25 to $50 million (USD),0,0,0,CA,0,15,1,1,1,1,Data Scientist,Not Mentioned,3847
85.5,4.2,501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),0,0,0,FL,1,12,1,1,0,1,Data Scientist,Not Mentioned,3253
48.0,4.5,51 to 200 employees,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),0,0,0,AL,0,24,0,0,0,1,Other Titles,Not Mentioned,2279
48.0,3.5,51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,0,LA,1,21,0,0,0,1,Analyst,Not Mentioned,2817
174.0,3.5,201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),3,0,0,CA,1,30,0,0,0,1,Other Titles,Senior,4798
85.0,3.9,5001 to 10000 employees,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),0,0,0,GA,0,52,1,1,0,0,Data Scientist,Not Mentioned,2411
106.5,4.7,51 to 200 employees,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),0,0,0,MD,0,17,0,0,0,0,Other Titles,Not Mentioned,2746
72.5,4.2,1001 to 5000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),0,0,0,MD,0,32,0,0,0,1,Analyst,Not Mentioned,2356
85.5,3.4,10000+ employees,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),3,0,0,MD,0,24,0,0,0,0,Other Titles,Not Mentioned,4154
97.5,3.2,5001 to 10000 employees,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),3,0,0,VA,0,62,1,0,0,1,Data Scientist,Not Mentioned,5466
99.0,3.9,501 to 1000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),3,0,0,VA,0,10,1,0,0,1,Data Scientist,Not Mentioned,2606
56.5,3.1,1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),3,0,0,WI,0,19,0,0,0,1,Analyst,Not Mentioned,4265
133.0,4.1,1 to 50 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,0,0,0,MD,1,13,1,0,0,0,Data Scientist,Senior,5510
121.0,3.8,51 to 200 employees,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,0,0,0,NY,1,8,1,1,0,0,Data Scientist,Not Mentioned,3471
85.5,4.7,501 to 1000 employees,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,3,0,0,NY,1,28,1,0,0,0,Data Scientist,Not Mentioned,3351
87.5,4.3,1001 to 5000 employees,Subsidiary or Business Segment,Education Training Services,Education,Unknown / Non-Applicable,3,0,0,TX,0,5,1,0,0,0,Data Scientist,Not Mentioned,3759
237.5,4.2,1001 to 5000 employees,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,3,0,0,DC,1,85,1,0,0,1,Data Scientist,Senior,3323
95.5,3.9,1001 to 5000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),3,0,0,NC,0,23,1,1,0,0,Data Engineer,Not Mentioned,5537
104.5,3.3,10000+ employees,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),0,0,0,MI,0,26,1,1,1,1,Data Scientist,Senior,4804
56.5,4.7,201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,3,0,0,NJ,0,8,0,0,0,1,Analyst,Not Mentioned,5643
55.0,4.3,201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),0,0,0,AZ,1,10,0,0,0,1,Analyst,Senior,3240
61.5,2.9,1001 to 5000 employees,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,3,0,0,NE,1,43,0,0,0,1,Other Titles,Not Mentioned,4961
157.0,4.5,201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),3,0,0,CA,1,14,0,1,1,0,Data Scientist,Not Mentioned,5174
78.0,3.4,201 to 500 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,2,0,0,NJ,1,1,1,0,0,0,Data Engineer,Not Mentioned,2254
113.5,3.7,10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),3,0,0,MA,0,239,1,1,0,0,Data Scientist,Not Mentioned,3799
140.0,4.6,51 to 200 employees,Company - Private,Internet,Information Technology,$100 to $500 million (USD),2,0,0,NY,1,11,1,1,0,0,Data Scientist,Not Mentioned,4609
132.5,3.2,51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,0,CA,1,5,0,1,0,1,Data Scientist,Not Mentioned,3185
108.0,4.0,5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),0,0,0,CA,0,38,1,1,0,0,Data Engineer,Not Mentioned,3479
80.5,4.6,501 to 1000 employees,Company - Private,Farm Support Services,Agriculture & Forestry,$50 to $100 million (USD),0,0,0,IN,1,83,0,0,0,0,Data Scientist,Not Mentioned,745
107.5,2.8,201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,0,0,0,MD,1,20,1,0,0,0,Data Scientist,Not Mentioned,3930
95.0,4.7,51 to 200 employees,Company - Private,Consulting,Business Services,$25 to $50 million (USD),2,0,0,MN,1,24,0,1,1,0,Data Engineer,Not Mentioned,2922
119.5,3.0,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,3,0,0,CA,1,23,1,1,0,0,Data Scientist,Not Mentioned,4036
134.0,3.2,1001 to 5000 employees,Company - Private,Advertising & Marketing,Business Services,$1 to $2 billion (USD),3,0,0,NC,0,20,0,1,1,0,Data Engineer,Senior,2642
100.5,4.4,201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,0,MA,1,21,1,0,0,1,Data Scientist,Not Mentioned,4216
107.5,3.5,1001 to 5000 employees,Company - Public,TV Broadcast & Cable Networks,Media,$500 million to $1 billion (USD),0,0,0,OH,1,142,1,0,0,0,Data Scientist,Not Mentioned,7286
122.0,4.0,51 to 200 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,0,DC,1,5,1,1,1,0,Data Engineer,Not Mentioned,4104
92.5,4.3,1001 to 5000 employees,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),3,0,0,IL,1,27,1,1,0,1,Data Engineer,Not Mentioned,8217
62.0,2.3,501 to 1000 employees,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),0,0,0,MD,1,34,0,0,0,1,Analyst,Not Mentioned,1847
39.5,4.0,51 to 200 employees,Unknown,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),0,0,0,AL,0,20,0,0,0,0,Other Titles,Not Mentioned,2823
107.5,3.6,1001 to 5000 employees,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),0,0,0,CA,0,54,0,0,0,1,Data Scientist,Not Mentioned,4023
40.5,3.8,501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,0,0,0,MO,1,3,1,0,1,1,manager,Not Mentioned,4185
89.5,3.7,10000+ employees,Company - Public,IT Services,Information Technology,$10+ billion (USD),3,0,0,VA,0,62,1,1,0,0,Data Scientist,Senior,5040
81.0,4.4,201 to 500 employees,Company - Private,Consulting,Business Services,$50 to $100 million (USD),0,0,0,IL,1,12,1,0,1,1,Data Scientist,Not Mentioned,3200
147.0,4.0,501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),3,0,0,VA,0,8,1,0,1,0,Data Scientist,Senior,3744
85.0,3.2,1001 to 5000 employees,Company - Private,Brokerage Services,Finance,$100 to $500 million (USD),3,0,0,TX,1,62,1,0,0,1,Data Scientist,Not Mentioned,4041
81.5,2.9,1001 to 5000 employees,Company - Private,Consumer Products Manufacturing,Manufacturing,$1 to $2 billion (USD),2,0,0,CA,0,49,0,0,0,1,Other Titles,Not Mentioned,5685
168.0,3.8,1001 to 5000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$500 million to $1 billion (USD),3,0,0,CA,0,23,0,0,0,1,Other Titles,Not Mentioned,6319
100.5,4.3,1 to 50 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,0,0,0,CO,1,13,1,1,1,1,Machine Learning Engineer,Not Mentioned,3592
97.0,3.4,1001 to 5000 employees,Company - Private,Consulting,Business Services,$100 to $500 million (USD),3,0,0,NY,0,77,1,1,0,1,Data Scientist,Not Mentioned,7665
85.0,4.1,5001 to 10000 employees,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),0,0,0,VA,0,52,0,0,0,0,Data Scientist,Not Mentioned,3522
153.5,4.3,201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,0,CA,1,9,1,1,1,1,Data Scientist,Not Mentioned,4201
132.5,5.0,51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,0,0,1,FL,0,3,0,0,0,0,Data Engineer,Not Mentioned,695
100.0,4.3,51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),3,0,0,IL,1,12,0,1,0,1,Data Engineer,Not Mentioned,3080
105.0,3.7,201 to 500 employees,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,0,0,0,CO,1,9,1,0,0,0,Data Scientist,Senior,3392
87.0,4.2,10000+ employees,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable,0,0,0,UT,0,-1,0,0,1,1,Data Engineer,Not Mentioned,3118
103.5,4.3,51 to 200 employees,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,3,0,0,CA,1,7,0,0,0,1,Analyst,Not Mentioned,1831
124.0,2.6,501 to 1000 employees,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,0,0,0,PA,1,36,1,0,0,1,Other Titles,Senior,6197
67.0,3.8,1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),3,0,0,WA,1,55,1,0,0,0,Data Scientist,Not Mentioned,6914
87.0,3.9,10000+ employees,Company - Private,IT Services,Information Technology,$2 to $5 billion (USD),3,0,0,DC,0,20,0,0,0,0,Data Engineer,Not Mentioned,3255
137.5,4.3,201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,0,IL,0,9,1,1,1,1,Data Scientist,Not Mentioned,3437
100.0,3.8,201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),3,0,0,OH,1,33,1,0,0,1,Data Scientist,Senior,5582
106.5,3.8,5001 to 10000 employees,Nonprofit Organization,Insurance Carriers,Insurance,$5 to $10 billion (USD),0,0,0,TN,1,75,0,0,0,1,Data Engineer,Not Mentioned,5813
98.5,3.8,1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),3,0,0,WA,1,55,0,0,0,0,Data Scientist,Senior,4946
61.0,4.8,501 to 1000 employees,Company - Private,Security Services,Business Services,$100 to $500 million (USD),0,0,0,FL,1,10,1,0,0,1,Analyst,Senior,2968
